"Owner","Profile Name","City","Control vs Treatment","Date","Swipes","Likes","Matches","Comments","OwnerNum","ProfileNum","CityNum","ExpDay","DOW"
"Brian","Sean Matthews","San Francisco","Treatment","10/15/2023",10,2,0,0,1,11,30,5,"Sunday"
"Erin Smith","Liam Williams","New York","Treatment","10/15/2023",10,0,1,0,2,12,20,5,"Sunday"
"Erin Smith","Liam Williams","San Francisco","Control","10/15/2023",10,0,0,0,2,12,30,5,"Sunday"
"KT","Finn Richardson","New York","Control","10/15/2023",10,1,4,0,3,14,20,5,"Sunday"
"KT","Finn Richardson","San Francisco","Treatment","10/15/2023",10,1,4,0,3,14,30,5,"Sunday"
"Luka","Ethan Mitchell","San Francisco","Control","10/15/2023",10,3,1,1,4,15,30,5,"Sunday"
"Luka","Ethan Mitchell","New York","Treatment","10/15/2023",10,6,3,1,4,15,20,5,"Sunday"
"Quazi","Matt Anderson","San Francisco","Treatment","10/15/2023",10,5,1,1,5,16,30,5,"Sunday"
"Quazi","Matt Anderson","New York","Control","10/15/2023",10,1,0,0,5,16,20,5,"Sunday"
"Brian","Sean Matthews","New York","Control","10/16/2023",10,2,2,0,1,11,20,6,"Monday"
"Brian","Sean Matthews","San Francisco","Treatment","10/16/2023",10,2,1,0,1,11,30,6,"Monday"
"Erin Smith","Liam Williams","New York","Treatment","10/16/2023",10,1,6,1,2,12,20,6,"Monday"
"Erin Smith","Liam Williams","San Francisco","Control","10/16/2023",10,1,3,0,2,12,30,6,"Monday"
"KT","Finn Richardson","New York","Control","10/16/2023",10,1,1,0,3,14,20,6,"Monday"
"KT","Finn Richardson","San Francisco","Treatment","10/16/2023",10,0,0,1,3,14,30,6,"Monday"
"Luka","Ethan Mitchell","San Francisco","Control","10/16/2023",10,4,1,1,4,15,30,6,"Monday"
"Luka","Ethan Mitchell","New York","Treatment","10/16/2023",10,6,0,0,4,15,20,6,"Monday"
"Quazi","Matt Anderson","San Francisco","Treatment","10/16/2023",10,3,1,0,5,16,30,6,"Monday"
"Quazi","Matt Anderson","New York","Control","10/16/2023",10,3,0,0,5,16,20,6,"Monday"
"Brian","Sean Matthews","New York","Control","10/17/2023",10,4,2,0,1,11,20,7,"Tuesday"
"Brian","Sean Matthews","San Francisco","Treatment","10/17/2023",10,1,0,0,1,11,30,7,"Tuesday"
"Erin Smith","Liam Williams","New York","Treatment","10/17/2023",10,1,0,1,2,12,20,7,"Tuesday"
"Erin Smith","Liam Williams","San Francisco","Control","10/17/2023",10,1,0,0,2,12,30,7,"Tuesday"
"KT","Finn Richardson","New York","Control","10/17/2023",10,1,0,0,3,14,20,7,"Tuesday"
"KT","Finn Richardson","San Francisco","Treatment","10/17/2023",10,4,4,0,3,14,30,7,"Tuesday"
"Luka","Ethan Mitchell","San Francisco","Control","10/17/2023",10,1,3,0,4,15,30,7,"Tuesday"
"Luka","Ethan Mitchell","New York","Treatment","10/17/2023",10,3,1,0,4,15,20,7,"Tuesday"
"Quazi","Matt Anderson","San Francisco","Treatment","10/17/2023",10,5,2,0,5,16,30,7,"Tuesday"
"Quazi","Matt Anderson","New York","Control","10/17/2023",10,4,0,0,5,16,20,7,"Tuesday"
"Brian","Sean Matthews","New York","Control","10/18/2023",10,0,1,0,1,11,20,8,"Wednesday"
"Brian","Sean Matthews","San Francisco","Treatment","10/18/2023",10,0,1,0,1,11,30,8,"Wednesday"
"Erin Smith","Liam Williams","New York","Treatment","10/18/2023",10,4,2,0,2,12,20,8,"Wednesday"
"Erin Smith","Liam Williams","San Francisco","Control","10/18/2023",10,2,0,0,2,12,30,8,"Wednesday"
"KT","Finn Richardson","New York","Control","10/18/2023",10,0,1,0,3,14,20,8,"Wednesday"
"KT","Finn Richardson","San Francisco","Treatment","10/18/2023",10,2,1,0,3,14,30,8,"Wednesday"
"Luka","Ethan Mitchell","San Francisco","Control","10/18/2023",10,2,2,0,4,15,30,8,"Wednesday"
"Luka","Ethan Mitchell","New York","Treatment","10/18/2023",10,3,4,1,4,15,20,8,"Wednesday"
"Quazi","Matt Anderson","San Francisco","Treatment","10/18/2023",10,5,4,2,5,16,30,8,"Wednesday"
"Quazi","Matt Anderson","New York","Control","10/18/2023",10,5,0,0,5,16,20,8,"Wednesday"
"Brian","Sean Matthews","New York","Control","10/19/2023",10,0,0,0,1,11,20,9,"Thursday"
"Brian","Sean Matthews","San Francisco","Treatment","10/19/2023",10,0,0,0,1,11,30,9,"Thursday"
"KT","Finn Richardson","New York","Control","10/19/2023",10,2,0,0,3,14,20,9,"Thursday"
"KT","Finn Richardson","San Francisco","Treatment","10/19/2023",10,1,1,0,3,14,30,9,"Thursday"
"Luka","Ethan Mitchell","San Francisco","Control","10/19/2023",10,3,1,1,4,15,30,9,"Thursday"
"Luka","Ethan Mitchell","New York","Treatment","10/19/2023",10,2,1,0,4,15,20,9,"Thursday"
"Quazi","Matt Anderson","San Francisco","Treatment","10/19/2023",10,6,2,1,5,16,30,9,"Thursday"
"Quazi","Matt Anderson","New York","Control","10/19/2023",10,7,0,1,5,16,20,9,"Thursday"
"Brian","Sean Matthews","New York","Control","10/20/2023",10,1,0,0,1,11,20,20,"Friday"
"Brian","Sean Matthews","San Francisco","Treatment","10/20/2023",10,2,0,0,1,11,30,20,"Friday"
"KT","Finn Richardson","New York","Control","10/20/2023",10,1,2,0,3,14,20,20,"Friday"
"KT","Finn Richardson","San Francisco","Treatment","10/20/2023",10,1,1,0,3,14,30,20,"Friday"
"Luka","Ethan Mitchell","San Francisco","Control","10/20/2023",10,2,2,1,4,15,30,20,"Friday"
"Luka","Ethan Mitchell","New York","Treatment","10/20/2023",10,2,1,1,4,15,20,20,"Friday"
"Quazi","Matt Anderson","San Francisco","Treatment","10/20/2023",10,1,2,0,5,16,30,20,"Friday"
"Quazi","Matt Anderson","New York","Control","10/20/2023",10,3,1,0,5,16,20,20,"Friday"
"Brian","Sean Matthews","New York","Control","10/21/2023",10,1,1,0,1,11,20,21,"Saturday"
"Brian","Sean Matthews","San Francisco","Treatment","10/21/2023",10,1,1,0,1,11,30,21,"Saturday"
"KT","Finn Richardson","New York","Control","10/21/2023",10,0,2,0,3,14,20,21,"Saturday"
"KT","Finn Richardson","San Francisco","Treatment","10/21/2023",10,1,2,0,3,14,30,21,"Saturday"
"Luka","Ethan Mitchell","San Francisco","Control","10/21/2023",10,2,1,0,4,15,30,21,"Saturday"
"Luka","Ethan Mitchell","New York","Treatment","10/21/2023",10,3,1,1,4,15,20,21,"Saturday"
"Quazi","Matt Anderson","San Francisco","Treatment","10/21/2023",10,6,4,2,5,16,30,21,"Saturday"
"Quazi","Matt Anderson","New York","Control","10/21/2023",10,2,1,0,5,16,20,21,"Saturday"
"Brian","Sean Matthews","New York","Control","10/22/2023",10,1,0,0,1,11,20,22,"Sunday"
"Brian","Sean Matthews","San Francisco","Treatment","10/22/2023",10,0,0,0,1,11,30,22,"Sunday"
"KT","Finn Richardson","New York","Control","10/22/2023",10,5,1,1,3,14,20,22,"Sunday"
"KT","Finn Richardson","San Francisco","Treatment","10/22/2023",10,0,4,0,3,14,30,22,"Sunday"
"Luka","Ethan Mitchell","San Francisco","Control","10/22/2023",10,1,2,1,4,15,30,22,"Sunday"
"Luka","Ethan Mitchell","New York","Treatment","10/22/2023",10,2,4,1,4,15,20,22,"Sunday"
"Quazi","Matt Anderson","San Francisco","Treatment","10/22/2023",10,7,2,0,5,16,30,22,"Sunday"
"Quazi","Matt Anderson","New York","Control","10/22/2023",10,1,2,0,5,16,20,22,"Sunday"
"Brian","Sean Matthews","New York","Control","10/23/2023",10,1,1,0,1,11,20,23,"Monday"
"Brian","Sean Matthews","San Francisco","Treatment","10/23/2023",10,0,0,0,1,11,30,23,"Monday"
"Erin Smith","Brian Jensen","New York","Treatment","10/23/2023",8,11,1,4,2,13,20,23,"Monday"
"Erin Smith","Brian Jensen","San Francisco","Control","10/23/2023",8,7,0,1,2,13,30,23,"Monday"
"KT","Finn Richardson","New York","Control","10/23/2023",10,0,0,0,3,14,20,23,"Monday"
"KT","Finn Richardson","San Francisco","Treatment","10/23/2023",10,0,1,0,3,14,30,23,"Monday"
"Luka","Ethan Mitchell","San Francisco","Control","10/23/2023",10,2,1,0,4,15,30,23,"Monday"
"Luka","Ethan Mitchell","New York","Treatment","10/23/2023",10,1,1,1,4,15,20,23,"Monday"
"Quazi","Matt Anderson","San Francisco","Treatment","10/23/2023",10,5,1,0,5,16,30,23,"Monday"
"Quazi","Matt Anderson","New York","Control","10/23/2023",10,8,3,0,5,16,20,23,"Monday"
"Brian","Sean Matthews","New York","Control","10/24/2023",10,1,0,0,1,11,20,24,"Tuesday"
"Brian","Sean Matthews","San Francisco","Treatment","10/24/2023",10,0,0,0,1,11,30,24,"Tuesday"
"Erin Smith","Brian Jensen","New York","Treatment","10/24/2023",8,6,2,3,2,13,20,24,"Tuesday"
"Erin Smith","Brian Jensen","San Francisco","Control","10/24/2023",8,4,1,1,2,13,30,24,"Tuesday"
"KT","Finn Richardson","New York","Control","10/24/2023",10,2,1,0,3,14,20,24,"Tuesday"
"KT","Finn Richardson","San Francisco","Treatment","10/24/2023",10,1,3,0,3,14,30,24,"Tuesday"
"Luka","Ethan Mitchell","San Francisco","Control","10/24/2023",10,1,2,0,4,15,30,24,"Tuesday"
"Luka","Ethan Mitchell","New York","Treatment","10/24/2023",10,2,0,0,4,15,20,24,"Tuesday"
"Quazi","Matt Anderson","San Francisco","Treatment","10/24/2023",10,1,2,0,5,16,30,24,"Tuesday"
"Quazi","Matt Anderson","New York","Control","10/24/2023",10,1,1,0,5,16,20,24,"Tuesday"
"Brian","Sean Matthews","New York","Control","10/25/2023",10,1,1,0,1,11,20,25,"Wednesday"
"Brian","Sean Matthews","San Francisco","Treatment","10/25/2023",10,0,0,0,1,11,30,25,"Wednesday"
"Erin Smith","Brian Jensen","New York","Treatment","10/25/2023",8,15,2,4,2,13,20,25,"Wednesday"
"Erin Smith","Brian Jensen","San Francisco","Control","10/25/2023",8,4,2,0,2,13,30,25,"Wednesday"
"KT","Finn Richardson","New York","Control","10/25/2023",10,1,2,0,3,14,20,25,"Wednesday"
"KT","Finn Richardson","San Francisco","Treatment","10/25/2023",10,3,0,1,3,14,30,25,"Wednesday"
"Luka","Ethan Mitchell","San Francisco","Control","10/25/2023",10,1,0,0,4,15,30,25,"Wednesday"
"Luka","Ethan Mitchell","New York","Treatment","10/25/2023",10,1,1,0,4,15,20,25,"Wednesday"
"Quazi","Matt Anderson","San Francisco","Treatment","10/25/2023",10,1,1,0,5,16,30,25,"Wednesday"
"Quazi","Matt Anderson","New York","Control","10/25/2023",10,1,1,0,5,16,20,25,"Wednesday"
"Brian","Sean Matthews","New York","Control","10/26/2023",10,2,1,0,1,11,20,26,"Thursday"
"Brian","Sean Matthews","San Francisco","Treatment","10/26/2023",10,5,5,0,1,11,30,26,"Thursday"
"Erin Smith","Brian Jensen","New York","Treatment","10/26/2023",8,5,2,4,2,13,20,26,"Thursday"
"Erin Smith","Brian Jensen","San Francisco","Control","10/26/2023",8,2,1,0,2,13,30,26,"Thursday"
"KT","Finn Richardson","New York","Control","10/26/2023",10,1,0,0,3,14,20,26,"Thursday"
"KT","Finn Richardson","San Francisco","Treatment","10/26/2023",10,2,0,0,3,14,30,26,"Thursday"
"Luka","Ethan Mitchell","San Francisco","Control","10/26/2023",0,2,0,1,4,15,30,26,"Thursday"
"Luka","Ethan Mitchell","New York","Treatment","10/26/2023",0,2,0,0,4,15,20,26,"Thursday"
"Quazi","Matt Anderson","San Francisco","Treatment","10/26/2023",10,3,1,0,5,16,30,26,"Thursday"
"Quazi","Matt Anderson","New York","Control","10/26/2023",10,2,3,0,5,16,20,26,"Thursday"
"Brian","Sean Matthews","New York","Control","10/27/2023",10,0,1,0,1,11,20,27,"Friday"
"Brian","Sean Matthews","San Francisco","Treatment","10/27/2023",10,2,0,0,1,11,30,27,"Friday"
"Erin Smith","Brian Jensen","New York","Treatment","10/27/2023",8,2,0,0,2,13,20,27,"Friday"
"Erin Smith","Brian Jensen","San Francisco","Control","10/27/2023",8,0,1,0,2,13,30,27,"Friday"
"KT","Finn Richardson","New York","Control","10/27/2023",10,0,2,0,3,14,20,27,"Friday"
"KT","Finn Richardson","San Francisco","Treatment","10/27/2023",10,2,2,0,3,14,30,27,"Friday"
"Luka","Ethan Mitchell","San Francisco","Control","10/27/2023",20,1,1,0,4,15,30,27,"Friday"
"Luka","Ethan Mitchell","New York","Treatment","10/27/2023",20,1,1,1,4,15,20,27,"Friday"
"Quazi","Matt Anderson","San Francisco","Treatment","10/27/2023",10,2,3,2,5,16,30,27,"Friday"
"Quazi","Matt Anderson","New York","Control","10/27/2023",10,8,1,0,5,16,20,27,"Friday"
"Brian","Sean Matthews","New York","Control","10/28/2023",10,0,0,0,1,11,20,28,"Saturday"
"Brian","Sean Matthews","San Francisco","Treatment","10/28/2023",10,1,0,0,1,11,30,28,"Saturday"
"Erin Smith","Brian Jensen","New York","Treatment","10/28/2023",8,3,2,0,2,13,20,28,"Saturday"
"Erin Smith","Brian Jensen","San Francisco","Control","10/28/2023",8,1,1,0,2,13,30,28,"Saturday"
"KT","Finn Richardson","New York","Control","10/28/2023",10,0,2,0,3,14,20,28,"Saturday"
"KT","Finn Richardson","San Francisco","Treatment","10/28/2023",10,1,0,1,3,14,30,28,"Saturday"
"Luka","Ethan Mitchell","San Francisco","Control","10/28/2023",10,1,1,0,4,15,30,28,"Saturday"
"Luka","Ethan Mitchell","New York","Treatment","10/28/2023",10,0,1,0,4,15,20,28,"Saturday"
"Quazi","Matt Anderson","San Francisco","Treatment","10/28/2023",10,4,0,1,5,16,30,28,"Saturday"
"Quazi","Matt Anderson","New York","Control","10/28/2023",10,6,0,0,5,16,20,28,"Saturday"
"Brian","Sean Matthews","New York","Control","10/29/2023",10,1,0,0,1,11,20,29,"Sunday"
"Brian","Sean Matthews","San Francisco","Treatment","10/29/2023",10,1,0,0,1,11,30,29,"Sunday"
"Erin Smith","Brian Jensen","New York","Treatment","10/29/2023",8,4,2,1,2,13,20,29,"Sunday"
"Erin Smith","Brian Jensen","San Francisco","Control","10/29/2023",8,3,0,0,2,13,30,29,"Sunday"
"KT","Finn Richardson","New York","Control","10/29/2023",10,1,2,0,3,14,20,29,"Sunday"
"KT","Finn Richardson","San Francisco","Treatment","10/29/2023",10,1,0,0,3,14,30,29,"Sunday"
"Luka","Ethan Mitchell","San Francisco","Control","10/29/2023",10,0,0,0,4,15,30,29,"Sunday"
"Luka","Ethan Mitchell","New York","Treatment","10/29/2023",10,0,0,0,4,15,20,29,"Sunday"
"Quazi","Matt Anderson","San Francisco","Treatment","10/29/2023",10,3,0,0,5,16,30,29,"Sunday"
"Quazi","Matt Anderson","New York","Control","10/29/2023",10,5,2,0,5,16,20,29,"Sunday"
"Brian","Sean Matthews","New York","Control","10/30/2023",10,0,0,0,1,11,20,30,"Monday"
"Brian","Sean Matthews","San Francisco","Treatment","10/30/2023",10,0,0,0,1,11,30,30,"Monday"
"Erin Smith","Brian Jensen","New York","Treatment","10/30/2023",8,2,1,0,2,13,20,30,"Monday"
"Erin Smith","Brian Jensen","San Francisco","Control","10/30/2023",8,1,1,0,2,13,30,30,"Monday"
"KT","Finn Richardson","New York","Control","10/30/2023",10,0,0,0,3,14,20,30,"Monday"
"KT","Finn Richardson","San Francisco","Treatment","10/30/2023",10,1,2,0,3,14,30,30,"Monday"
"Luka","Ethan Mitchell","San Francisco","Control","10/30/2023",10,2,0,0,4,15,30,30,"Monday"
"Luka","Ethan Mitchell","New York","Treatment","10/30/2023",10,3,0,0,4,15,20,30,"Monday"
"Brian","Sean Matthews","New York","Control","10/31/2023",10,0,0,0,1,11,20,31,"Tuesday"
"Brian","Sean Matthews","San Francisco","Treatment","10/31/2023",10,1,0,1,1,11,30,31,"Tuesday"
"Erin Smith","Brian Jensen","New York","Treatment","10/31/2023",8,3,1,0,2,13,20,31,"Tuesday"
"Erin Smith","Brian Jensen","San Francisco","Control","10/31/2023",8,1,0,0,2,13,30,31,"Tuesday"
"KT","Finn Richardson","New York","Control","10/31/2023",10,0,2,0,3,14,20,31,"Tuesday"
"KT","Finn Richardson","San Francisco","Treatment","10/31/2023",10,0,0,0,3,14,30,31,"Tuesday"
"Luka","Ethan Mitchell","San Francisco","Control","10/31/2023",10,1,0,0,4,15,30,31,"Tuesday"
"Luka","Ethan Mitchell","New York","Treatment","10/31/2023",10,1,0,1,4,15,20,31,"Tuesday"
"Brian","Sean Matthews","New York","Control","11/1/2023",10,1,0,0,1,11,20,32,"Wednesday"
"Brian","Sean Matthews","San Francisco","Treatment","11/1/2023",10,2,0,0,1,11,30,32,"Wednesday"
"Erin Smith","Brian Jensen","New York","Treatment","11/1/2023",8,4,1,2,2,13,20,32,"Wednesday"
"Erin Smith","Brian Jensen","San Francisco","Control","11/1/2023",8,1,1,0,2,13,30,32,"Wednesday"
"KT","Finn Richardson","New York","Control","11/1/2023",10,1,3,0,3,14,20,32,"Wednesday"
"KT","Finn Richardson","San Francisco","Treatment","11/1/2023",10,1,0,0,3,14,30,32,"Wednesday"
"Luka","Ethan Mitchell","San Francisco","Control","11/1/2023",10,1,1,0,4,15,30,32,"Wednesday"
"Luka","Ethan Mitchell","New York","Treatment","11/1/2023",10,1,1,0,4,15,20,32,"Wednesday"
"Brian","Sean Matthews","New York","Control","11/2/2023",10,2,0,1,1,11,20,33,"Thursday"
"Brian","Sean Matthews","San Francisco","Treatment","11/2/2023",10,1,0,0,1,11,30,33,"Thursday"
"Erin Smith","Brian Jensen","New York","Treatment","11/2/2023",8,4,2,3,2,13,20,33,"Thursday"
"Erin Smith","Brian Jensen","San Francisco","Control","11/2/2023",8,2,1,0,2,13,30,33,"Thursday"
"KT","Finn Richardson","New York","Control","11/2/2023",10,1,1,0,3,14,20,33,"Thursday"
"KT","Finn Richardson","San Francisco","Treatment","11/2/2023",10,0,4,0,3,14,30,33,"Thursday"
"Luka","Ethan Mitchell","San Francisco","Control","11/2/2023",10,2,0,0,4,15,30,33,"Thursday"
"Luka","Ethan Mitchell","New York","Treatment","11/2/2023",10,2,1,0,4,15,20,33,"Thursday"
"Brian","Sean Matthews","New York","Control","11/3/2023",10,1,0,1,1,11,20,34,"Friday"
"Brian","Sean Matthews","San Francisco","Treatment","11/3/2023",10,1,0,1,1,11,30,34,"Friday"
"Erin Smith","Brian Jensen","New York","Treatment","11/3/2023",8,2,0,0,2,13,20,34,"Friday"
"Erin Smith","Brian Jensen","San Francisco","Control","11/3/2023",8,2,1,0,2,13,30,34,"Friday"
"KT","Finn Richardson","New York","Control","11/3/2023",10,1,1,0,3,14,20,34,"Friday"
"KT","Finn Richardson","San Francisco","Treatment","11/3/2023",10,0,1,0,3,14,30,34,"Friday"
"Luka","Ethan Mitchell","San Francisco","Control","11/3/2023",10,1,0,1,4,15,30,34,"Friday"
"Luka","Ethan Mitchell","New York","Treatment","11/3/2023",10,2,1,0,4,15,20,34,"Friday"
"Brian","Sean Matthews","New York","Control","11/4/2023",10,0,0,1,1,11,20,35,"Saturday"
"Brian","Sean Matthews","San Francisco","Treatment","11/4/2023",10,2,0,0,1,11,30,35,"Saturday"
"Erin Smith","Brian Jensen","New York","Treatment","11/4/2023",8,2,1,0,2,13,20,35,"Saturday"
"Erin Smith","Brian Jensen","San Francisco","Control","11/4/2023",8,0,1,0,2,13,30,35,"Saturday"
"KT","Finn Richardson","New York","Control","11/4/2023",10,0,1,0,3,14,20,35,"Saturday"
"KT","Finn Richardson","San Francisco","Treatment","11/4/2023",10,0,0,0,3,14,30,35,"Saturday"
"Luka","Ethan Mitchell","San Francisco","Control","11/4/2023",0,0,0,0,4,15,30,35,"Saturday"
"Luka","Ethan Mitchell","New York","Treatment","11/4/2023",0,0,0,0,4,15,20,35,"Saturday"
"Brian","Sean Matthews","New York","Control","11/5/2023",10,0,0,1,1,11,20,36,"Sunday"
"Brian","Sean Matthews","San Francisco","Treatment","11/5/2023",10,0,0,0,1,11,30,36,"Sunday"
"Erin Smith","Brian Jensen","New York","Treatment","11/5/2023",8,1,0,1,2,13,20,36,"Sunday"
"Erin Smith","Brian Jensen","San Francisco","Control","11/5/2023",8,0,1,0,2,13,30,36,"Sunday"
"KT","Finn Richardson","New York","Control","11/5/2023",10,2,1,0,3,14,20,36,"Sunday"
"KT","Finn Richardson","San Francisco","Treatment","11/5/2023",10,4,2,1,3,14,30,36,"Sunday"
"Luka","Ethan Mitchell","San Francisco","Control","11/5/2023",0,0,0,0,4,15,30,36,"Sunday"
"Luka","Ethan Mitchell","New York","Treatment","11/5/2023",0,0,0,0,4,15,20,36,"Sunday"
"Brian","Sean Matthews","New York","Control","11/6/2023",10,0,1,0,1,11,20,37,"Monday"
"Brian","Sean Matthews","San Francisco","Treatment","11/6/2023",10,1,1,1,1,11,30,37,"Monday"
"Erin Smith","Brian Jensen","New York","Treatment","11/6/2023",8,1,2,1,2,13,20,37,"Monday"
"Erin Smith","Brian Jensen","San Francisco","Control","11/6/2023",8,1,1,0,2,13,30,37,"Monday"
"Luka","Ethan Mitchell","San Francisco","Control","11/6/2023",30,1,0,0,4,15,30,37,"Monday"
"Luka","Ethan Mitchell","New York","Treatment","11/6/2023",30,2,2,0,4,15,20,37,"Monday"
"Brian","Sean Matthews","New York","Control","11/7/2023",10,0,0,0,1,11,20,38,"Tuesday"
"Brian","Sean Matthews","San Francisco","Treatment","11/7/2023",10,2,0,0,1,11,30,38,"Tuesday"
"Erin Smith","Brian Jensen","New York","Treatment","11/7/2023",8,1,1,0,2,13,20,38,"Tuesday"
"Erin Smith","Brian Jensen","San Francisco","Control","11/7/2023",8,2,1,2,2,13,30,38,"Tuesday"
"KT","Finn Richardson","New York","Control","11/7/2023",10,0,1,0,3,14,20,38,"Tuesday"
"KT","Finn Richardson","San Francisco","Treatment","11/7/2023",10,1,0,0,3,14,30,38,"Tuesday"
"Luka","Ethan Mitchell","San Francisco","Control","11/7/2023",10,2,0,1,4,15,30,38,"Tuesday"
"Luka","Ethan Mitchell","New York","Treatment","11/7/2023",10,1,1,0,4,15,20,38,"Tuesday"
"Brian","Sean Matthews","New York","Control","11/8/2023",10,0,0,0,1,11,20,39,"Wednesday"
"Brian","Sean Matthews","San Francisco","Treatment","11/8/2023",10,1,1,0,1,11,30,39,"Wednesday"
"Erin Smith","Brian Jensen","New York","Treatment","11/8/2023",8,0,1,0,2,13,20,39,"Wednesday"
"Erin Smith","Brian Jensen","San Francisco","Control","11/8/2023",8,2,1,1,2,13,30,39,"Wednesday"
"Luka","Ethan Mitchell","San Francisco","Control","11/8/2023",10,2,1,0,4,15,30,39,"Wednesday"
"Luka","Ethan Mitchell","New York","Treatment","11/8/2023",10,1,0,0,4,15,20,39,"Wednesday"
"Erin Smith","Brian Jensen","New York","Treatment","11/9/2023",8,1,1,0,2,13,20,40,"Thursday"
"Erin Smith","Brian Jensen","San Francisco","Control","11/9/2023",8,1,1,1,2,13,30,40,"Thursday"
"Luka","Ethan Mitchell","San Francisco","Control","11/9/2023",10,1,0,0,4,15,30,40,"Thursday"
"Luka","Ethan Mitchell","New York","Treatment","11/9/2023",10,1,1,0,4,15,20,40,"Thursday"
"Erin Smith","Brian Jensen","New York","Treatment","11/10/2023",8,0,1,0,2,13,20,41,"Friday"
"Erin Smith","Brian Jensen","San Francisco","Control","11/10/2023",8,2,0,0,2,13,30,41,"Friday"
"Luka","Ethan Mitchell","San Francisco","Control","11/10/2023",10,2,2,0,4,15,30,41,"Friday"
"Luka","Ethan Mitchell","New York","Treatment","11/10/2023",10,1,3,0,4,15,20,41,"Friday"
